Algo,TailleMat,RunId,TempsAlloc,TempsCalc
GPU3,110,26,0.040184,0.105311
GPU3,110,27,0.044220,0.113377
GPU3,110,28,0.043826,0.108978
GPU3,110,29,0.042482,0.108437
GPU3,110,30,0.026046,0.087818
GPU3,110,31,0.030979,0.094654
GPU3,110,32,0.032599,0.103746
GPU3,120,1,0.037114,0.119175
GPU3,120,2,0.045102,0.130389
GPU3,120,3,0.030263,0.107749
GPU3,120,4,0.045960,0.132559
GPU3,120,5,0.036543,0.122548
GPU3,120,6,0.023961,0.106641
GPU3,120,7,0.044242,0.124408
GPU3,120,8,0.043426,0.121418
GPU3,120,9,0.042852,0.124272
GPU3,120,10,0.042969,0.126131
GPU3,120,11,0.041802,0.117994
GPU3,120,12,0.042999,0.132548
GPU3,120,13,0.046368,0.133270
GPU3,120,14,0.025988,0.102604
GPU3,120,15,0.044238,0.125219
GPU3,120,16,0.042669,0.121473
GPU3,120,17,0.041827,0.119021
GPU3,120,18,0.041388,0.117354
GPU3,120,19,0.042523,0.123999
GPU3,120,20,0.025783,0.106079
GPU3,120,21,0.031788,0.112139
GPU3,120,22,0.036344,0.121723
GPU3,120,23,0.042396,0.123715
GPU3,120,24,0.024199,0.101485
GPU3,120,25,0.041943,0.118476
GPU3,120,26,0.044039,0.125074
GPU3,120,27,0.043085,0.128456
GPU3,120,28,0.046165,0.132132
GPU3,120,29,0.033487,0.119134
GPU3,120,30,0.043195,0.126130
GPU3,120,31,0.041583,0.123984
GPU3,120,32,0.040903,0.114618
GPU3,130,1,0.023924,0.123374
GPU3,130,2,0.036790,0.138131
GPU3,130,3,0.024696,0.121618
GPU3,130,4,0.043490,0.138245
GPU3,130,5,0.023750,0.121210
GPU3,130,6,0.029501,0.122275
GPU3,130,7,0.038085,0.145293
GPU3,130,8,0.023641,0.120522
GPU3,130,9,0.042956,0.140570
GPU3,130,10,0.042671,0.136983
GPU3,130,11,0.024421,0.119706
GPU3,130,12,0.038786,0.136451
GPU3,130,13,0.032036,0.131281
GPU3,130,14,0.041265,0.147570
GPU3,130,15,0.044861,0.144291
GPU3,130,16,0.031731,0.133612
GPU3,130,17,0.040686,0.133603
GPU3,130,18,0.042604,0.138699
GPU3,130,19,0.043375,0.143164
GPU3,130,20,0.044948,0.144824
GPU3,130,21,0.044350,0.139816
GPU3,130,22,0.034522,0.128643
GPU3,130,23,0.029404,0.126531
GPU3,130,24,0.042422,0.134337
GPU3,130,25,0.030025,0.132300
GPU3,130,26,0.023759,0.118705
GPU3,130,27,0.024020,0.121861
GPU3,130,28,0.027108,0.117283
GPU3,130,29,0.038502,0.149091
GPU3,130,30,0.044213,0.144919
GPU3,130,31,0.024402,0.120382
GPU3,130,32,0.042562,0.139850
GPU3,140,1,0.043188,0.158895
GPU3,140,2,0.023811,0.139196
GPU3,140,3,0.030820,0.147332
GPU3,140,4,0.037468,0.152896
GPU3,140,5,0.036045,0.159476
GPU3,140,6,0.024086,0.136691
GPU3,140,7,0.036649,0.154690
