Algo,TailleMat,RunId,TempsAlloc,TempsCalc
GPU1,120,8,0.029422,0.000407
GPU1,120,9,0.023705,0.000402
GPU1,120,10,0.023968,0.000406
GPU1,120,11,0.024366,0.000413
GPU1,120,12,0.038746,0.000411
GPU1,120,13,0.031865,0.000409
GPU1,120,14,0.044557,0.000407
GPU1,120,15,0.036857,0.000402
GPU1,120,16,0.037273,0.000410
GPU1,120,17,0.035204,0.000410
GPU1,120,18,0.026376,0.000406
GPU1,120,19,0.023678,0.000408
GPU1,120,20,0.026835,0.000410
GPU1,120,21,0.023964,0.000404
GPU1,120,22,0.038680,0.000409
GPU1,120,23,0.029085,0.000405
GPU1,120,24,0.030631,0.000407
GPU1,120,25,0.032733,0.001453
GPU1,120,26,0.026171,0.000402
GPU1,120,27,0.024833,0.000402
GPU1,120,28,0.025144,0.000411
GPU1,120,29,0.024073,0.000403
GPU1,120,30,0.029794,0.000405
GPU1,120,31,0.027061,0.000407
GPU1,120,32,0.032482,0.000408
GPU1,130,1,0.029080,0.000470
GPU1,130,2,0.037334,0.000501
GPU1,130,3,0.026930,0.000469
GPU1,130,4,0.026902,0.000471
GPU1,130,5,0.024366,0.000469
GPU1,130,6,0.023771,0.000469
GPU1,130,7,0.026741,0.002220
GPU1,130,8,0.024902,0.000462
GPU1,130,9,0.023920,0.000467
GPU1,130,10,0.026091,0.002146
GPU1,130,11,0.024678,0.000468
GPU1,130,12,0.023922,0.000468
GPU1,130,13,0.027837,0.000584
GPU1,130,14,0.024069,0.000461
GPU1,130,15,0.024124,0.000468
GPU1,130,16,0.026998,0.002202
GPU1,130,17,0.033352,0.000464
GPU1,130,18,0.028229,0.000470
GPU1,130,19,0.031182,0.000465
GPU1,130,20,0.024070,0.000459
GPU1,130,21,0.023967,0.000462
GPU1,130,22,0.029825,0.000467
GPU1,130,23,0.024901,0.000468
GPU1,130,24,0.023759,0.000458
GPU1,130,25,0.029427,0.000588
GPU1,130,26,0.023856,0.000467
GPU1,130,27,0.023578,0.000465
GPU1,130,28,0.030066,0.000472
GPU1,130,29,0.026767,0.000470
GPU1,130,30,0.024118,0.000464
GPU1,130,31,0.027323,0.000471
GPU1,130,32,0.023965,0.000464
GPU1,140,1,0.024151,0.000758
GPU1,140,2,0.026947,0.002291
GPU1,140,3,0.028136,0.000757
GPU1,140,4,0.026911,0.000762
GPU1,140,5,0.027201,0.000759
GPU1,140,6,0.023795,0.000761
GPU1,140,7,0.026868,0.000761
GPU1,140,8,0.027582,0.000771
GPU1,140,9,0.024192,0.000761
GPU1,140,10,0.024103,0.000756
GPU1,140,11,0.027527,0.000876
GPU1,140,12,0.024902,0.000758
GPU1,140,13,0.023929,0.000758
GPU1,140,14,0.026091,0.002257
GPU1,140,15,0.024302,0.000763
GPU1,140,16,0.023695,0.000754
GPU1,140,17,0.030353,0.000898
GPU1,140,18,0.029632,0.000763
GPU1,140,19,0.040467,0.000767
GPU1,140,20,0.033407,0.000761
GPU1,140,21,0.044808,0.000760
GPU1,140,22,0.033369,0.000766
GPU1,140,23,0.041496,0.000760
GPU1,140,24,0.028375,0.000761
GPU1,140,25,0.041058,0.000767
GPU1,140,26,0.033285,0.000766
GPU1,140,27,0.027229,0.000759
GPU1,140,28,0.024888,0.000759
GPU1,140,29,0.026201,0.000763
GPU1,140,30,0.024233,0.000756
GPU1,140,31,0.040381,0.000762
GPU1,140,32,0.030956,0.000762
GPU1,150,1,0.040199,0.000926
GPU1,150,2,0.039245,0.000958
GPU1,150,3,0.031679,0.000924
GPU1,150,4,0.028629,0.000960
GPU1,150,5,0.024056,0.000916
GPU1,150,6,0.024028,0.000929
GPU1,150,7,0.031630,0.000918
GPU1,150,8,0.023981,0.000922
GPU1,150,9,0.024157,0.000914
GPU1,150,10,0.026146,0.000919
GPU1,150,11,0.024266,0.000917
GPU1,150,12,0.027537,0.000923
GPU1,150,13,0.024211,0.000917
GPU1,150,14,0.023800,0.000920
GPU1,150,15,0.026361,0.002318
GPU1,150,16,0.024302,0.000921
GPU1,150,17,0.024148,0.000926
GPU1,150,18,0.026169,0.002331
GPU1,150,19,0.029492,0.000930
GPU1,150,20,0.027371,0.000923
GPU1,150,21,0.029941,0.001948
GPU1,150,22,0.039581,0.000930
GPU1,150,23,0.035515,0.000932
GPU1,150,24,0.033238,0.000928
GPU1,150,25,0.041295,0.000922
GPU1,150,26,0.030040,0.000926
GPU1,150,27,0.024179,0.000920
GPU1,150,28,0.024003,0.000920
GPU1,150,29,0.024007,0.000926
GPU1,150,30,0.034854,0.000928
GPU1,150,31,0.029491,0.000919
GPU1,150,32,0.025428,0.000920
GPU1,160,1,0.024504,0.001042
GPU1,160,2,0.029151,0.001045
GPU1,160,3,0.024617,0.001044
GPU1,160,4,0.024018,0.001045
GPU1,160,5,0.027558,0.001161
GPU1,160,6,0.023916,0.001046
GPU1,160,7,0.024117,0.001042
GPU1,160,8,0.026538,0.002485
GPU1,160,9,0.024662,0.001044
GPU1,160,10,0.024476,0.001041
GPU1,160,11,0.028183,0.001046
GPU1,160,12,0.024249,0.001042
GPU1,160,13,0.024340,0.001046
GPU1,160,14,0.031395,0.001061
GPU1,160,15,0.026736,0.001042
GPU1,160,16,0.026021,0.001044
GPU1,160,17,0.025577,0.001047
GPU1,160,18,0.024115,0.001044
GPU1,160,19,0.024553,0.001043
GPU1,160,20,0.028354,0.001164
GPU1,160,21,0.024192,0.001044
GPU1,160,22,0.024192,0.001043
GPU1,160,23,0.030775,0.001047
GPU1,160,24,0.025835,0.001058
GPU1,160,25,0.029883,0.001046
GPU1,160,26,0.027153,0.001048
GPU1,160,27,0.024179,0.001043
GPU1,160,28,0.024551,0.001044
GPU1,160,29,0.036765,0.001047
GPU1,160,30,0.024593,0.001046
GPU1,160,31,0.030705,0.001044
GPU1,160,32,0.028815,0.002858
GPU1,170,1,0.024942,0.001136
GPU1,170,2,0.024617,0.001135
GPU1,170,3,0.033994,0.001136
GPU1,170,4,0.025763,0.001142
GPU1,170,5,0.024280,0.001130
GPU1,170,6,0.030925,0.001136
GPU1,170,7,0.024508,0.001135
GPU1,170,8,0.024547,0.001140
GPU1,170,9,0.028199,0.001134
GPU1,170,10,0.026963,0.001133
GPU1,170,11,0.025979,0.001137
GPU1,170,12,0.029582,0.001140
GPU1,170,13,0.025099,0.001135
GPU1,170,14,0.024420,0.001142
GPU1,170,15,0.027788,0.001131
GPU1,170,16,0.037383,0.001146
GPU1,170,17,0.029082,0.001137
GPU1,170,18,0.034438,0.001132
GPU1,170,19,0.026055,0.001128
GPU1,170,20,0.029226,0.001134
GPU1,170,21,0.024972,0.001138
GPU1,170,22,0.041539,0.001140
GPU1,170,23,0.036223,0.001136
GPU1,170,24,0.024410,0.001126
GPU1,170,25,0.027965,0.001140
GPU1,170,26,0.025125,0.001139
GPU1,170,27,0.034529,0.001136
GPU1,170,28,0.031369,0.001130
GPU1,170,29,0.026936,0.001133
GPU1,170,30,0.041727,0.001140
GPU1,170,31,0.026337,0.001132
GPU1,170,32,0.045966,0.001141
GPU1,180,1,0.031718,0.001668
GPU1,180,2,0.025503,0.001674
GPU1,180,3,0.027659,0.001782
GPU1,180,4,0.024430,0.001661
GPU1,180,5,0.028495,0.001672
GPU1,180,6,0.028552,0.001670
GPU1,180,7,0.024784,0.001674
GPU1,180,8,0.024755,0.001677
GPU1,180,9,0.035535,0.001675
GPU1,180,10,0.039019,0.001678
GPU1,180,11,0.044415,0.001676
GPU1,180,12,0.043054,0.001674
GPU1,180,13,0.035637,0.001787
GPU1,180,14,0.028121,0.001679
GPU1,180,15,0.043248,0.001678
GPU1,180,16,0.026661,0.001675
GPU1,180,17,0.024627,0.001667
GPU1,180,18,0.025864,0.002323
GPU1,180,19,0.025287,0.001664
GPU1,180,20,0.040536,0.001673
GPU1,180,21,0.035544,0.001680
GPU1,180,22,0.043921,0.001680
GPU1,180,23,0.034325,0.001731
GPU1,180,24,0.032965,0.001684
GPU1,180,25,0.033364,0.001670
GPU1,180,26,0.026494,0.001675
GPU1,180,27,0.024929,0.001671
GPU1,180,28,0.027518,0.001670
GPU1,180,29,0.024261,0.001670
GPU1,180,30,0.024262,0.001662
GPU1,180,31,0.032823,0.001676
GPU1,180,32,0.029417,0.001676
GPU1,190,1,0.028112,0.001554
GPU1,190,2,0.028073,0.001548
GPU1,190,3,0.024681,0.001538
GPU1,190,4,0.024324,0.001542
GPU1,190,5,0.029490,0.001533
GPU1,190,6,0.024549,0.001547
GPU1,190,7,0.024886,0.001533
GPU1,190,8,0.028604,0.001544
GPU1,190,9,0.025749,0.001543
GPU1,190,10,0.024331,0.001532
GPU1,190,11,0.028300,0.001538
GPU1,190,12,0.029346,0.001543
GPU1,190,13,0.027523,0.001557
GPU1,190,14,0.027724,0.001545
GPU1,190,15,0.024767,0.001534
GPU1,190,16,0.027195,0.001544
GPU1,190,17,0.026127,0.001540
GPU1,190,18,0.024906,0.001542
GPU1,190,19,0.024351,0.001540
GPU1,190,20,0.029699,0.001541
GPU1,190,21,0.024485,0.001536
GPU1,190,22,0.024926,0.001544
GPU1,190,23,0.027868,0.001546
GPU1,190,24,0.029020,0.001549
GPU1,190,25,0.026052,0.001541
GPU1,190,26,0.033481,0.001540
GPU1,190,27,0.038071,0.001540
GPU1,190,28,0.032592,0.001543
GPU1,190,29,0.026422,0.001540
GPU1,190,30,0.028046,0.001630
GPU1,190,31,0.025325,0.001538
GPU1,190,32,0.024564,0.001544
GPU1,200,1,0.029480,0.001816
GPU1,200,2,0.031366,0.001815
GPU1,200,3,0.027867,0.001812
GPU1,200,4,0.030895,0.001824
GPU1,200,5,0.027156,0.001815
GPU1,200,6,0.028009,0.001899
GPU1,200,7,0.025315,0.001817
GPU1,200,8,0.024767,0.001822
GPU1,200,9,0.029377,0.001827
GPU1,200,10,0.024819,0.001819
GPU1,200,11,0.025031,0.001818
GPU1,200,12,0.029604,0.001821
GPU1,200,13,0.035229,0.001815
GPU1,200,14,0.039671,0.001819
GPU1,200,15,0.040090,0.001815
GPU1,200,16,0.030135,0.002445
GPU1,200,17,0.029327,0.001815
GPU1,200,18,0.036623,0.001810
GPU1,200,19,0.028755,0.001824
GPU1,200,20,0.025888,0.001813
GPU1,200,21,0.030200,0.001821
GPU1,200,22,0.044293,0.001815
GPU1,200,23,0.030316,0.001814
GPU1,200,24,0.028507,0.001818
GPU1,200,25,0.031810,0.001814
GPU1,200,26,0.037063,0.001817
GPU1,200,27,0.028803,0.001825
GPU1,200,28,0.030098,0.002911
GPU1,200,29,0.035373,0.001820
GPU1,200,30,0.029139,0.001814
GPU1,200,31,0.038496,0.001824
GPU1,200,32,0.039841,0.001812
GPU1,210,1,0.029365,0.002772
GPU1,210,2,0.025428,0.002777
GPU1,210,3,0.040427,0.002757
GPU1,210,4,0.027351,0.002776
GPU1,210,5,0.043332,0.002780
GPU1,210,6,0.030320,0.002787
GPU1,210,7,0.034787,0.002784
GPU1,210,8,0.031633,0.002813
GPU1,210,9,0.049955,0.002783
GPU1,210,10,0.036432,0.002783
GPU1,210,11,0.031184,0.002781
GPU1,210,12,0.035072,0.002785
GPU1,210,13,0.026402,0.002781
GPU1,210,14,0.034067,0.002794
GPU1,210,15,0.027142,0.002778
GPU1,210,16,0.027300,0.002779
GPU1,210,17,0.040808,0.002782
GPU1,210,18,0.045994,0.002835
GPU1,210,19,0.032280,0.002781
GPU1,210,20,0.043695,0.003162
GPU1,210,21,0.033910,0.002782
GPU1,210,22,0.047109,0.002874
GPU1,210,23,0.029733,0.002768
GPU1,210,24,0.042069,0.002837
GPU1,210,25,0.031242,0.002787
GPU1,210,26,0.042727,0.004016
GPU1,210,27,0.031875,0.002792
GPU1,210,28,0.027240,0.002778
GPU1,210,29,0.029277,0.002797
GPU1,210,30,0.039235,0.002774
GPU1,210,31,0.039185,0.002786
GPU1,210,32,0.042136,0.002772
GPU1,220,1,0.029406,0.002431
GPU1,220,2,0.027610,0.002416
GPU1,220,3,0.028996,0.002423
GPU1,220,4,0.025547,0.002410
GPU1,220,5,0.025939,0.003058
GPU1,220,6,0.025460,0.002416
GPU1,220,7,0.025339,0.002415
