Algo,TailleMat,RunId,Temps
CPU1,230,11,0.098944
CPU1,230,12,0.104538
CPU1,230,13,0.104423
CPU1,230,14,0.106821
CPU1,230,15,0.106311
CPU1,230,16,0.104379
CPU1,230,17,0.070518
CPU1,230,18,0.107974
CPU1,230,19,0.105503
CPU1,230,20,0.103238
CPU1,230,21,0.106240
CPU1,230,22,0.104722
CPU1,230,23,0.104669
CPU1,230,24,0.102672
CPU1,230,25,0.108224
CPU1,230,26,0.105957
CPU1,230,27,0.107325
CPU1,230,28,0.103388
CPU1,230,29,0.105538
CPU1,230,30,0.104144
CPU1,230,31,0.104132
CPU1,230,32,0.103860
CPU1,240,1,0.114589
CPU1,240,2,0.114769
CPU1,240,3,0.160248
CPU1,240,4,0.088282
CPU1,240,5,0.115995
CPU1,240,6,0.116507
CPU1,240,7,0.113658
CPU1,240,8,0.112772
CPU1,240,9,0.113441
CPU1,240,10,0.115256
CPU1,240,11,0.075832
CPU1,240,12,0.116316
CPU1,240,13,0.112434
CPU1,240,14,0.112972
CPU1,240,15,0.114327
CPU1,240,16,0.112421
CPU1,240,17,0.113365
CPU1,240,18,0.114969
CPU1,240,19,0.115384
CPU1,240,20,0.114962
CPU1,240,21,0.115905
CPU1,240,22,0.114135
CPU1,240,23,0.113931
CPU1,240,24,0.114133
CPU1,240,25,0.115273
CPU1,240,26,0.114549
CPU1,240,27,0.113663
CPU1,240,28,0.110987
CPU1,240,29,0.116650
CPU1,240,30,0.115643
CPU1,240,31,0.115015
CPU1,240,32,0.115414
CPU1,250,1,0.130453
CPU1,250,2,0.125921
CPU1,250,3,0.129895
CPU1,250,4,0.126505
CPU1,250,5,0.129612
CPU1,250,6,0.132267
CPU1,250,7,0.128698
CPU1,250,8,0.130135
CPU1,250,9,0.130588
CPU1,250,10,0.131165
CPU1,250,11,0.130795
CPU1,250,12,0.083135
CPU1,250,13,0.130503
CPU1,250,14,0.131466
CPU1,250,15,0.127377
CPU1,250,16,0.127343
CPU1,250,17,0.129411
CPU1,250,18,0.129652
CPU1,250,19,0.132658
CPU1,250,20,0.123427
CPU1,250,21,0.127683
CPU1,250,22,0.137325
CPU1,250,23,0.128262
CPU1,250,24,0.132760
CPU1,250,25,0.084688
CPU1,250,26,0.069093
CPU1,250,27,0.097815
CPU1,250,28,0.132919
CPU1,250,29,0.130264
CPU1,250,30,0.132461
CPU1,250,31,0.129677
CPU1,250,32,0.127217
